,name,vendor,category,shippingCountry,dollars,positiveRating,negativeRating,rating,main_category,legal,legality_reason
123,"0,5 Gram * Very High Potent Turkish Heroin               Nr  # 4",KingKongNL,Heroin,Netherlands,23,510,0,100,Drug,illegal,hard drug
124,1 gram PERUVIAN BRICK COCAINE 94% HQ,theolddoctor,Cocaine,Germany,80,1362,15,99,Drug,illegal,hard drug
125,"0,5 Gram Xanga-Changa 1:1 (Explosive Mint)FREE SHIPPING",kingofcannabis,DMT,Not Specified,26,570,0,100,Drug,illegal,hard drug
126,★S-ISOMER KETAMINE X 3.5G *NEW* US to US ★,MyINI,Ketamine,United States,225,22809,96,100,Drug,illegal,hard drug
127,1G Fire Meth. Simply the Best available. USA-USA,TrumpTower,Meth,United States,76,640,15,98,Drug,illegal,hard drug
128,LSD - Panda Bear Blotters 220UG - 10X,roses,LSD,Netherlands,60,1005,0,100,Drug,illegal,hard drug
129,1 gram monopoly carts,levelup,Concentrates,United States,20,1516,0,100,Concentrates,illegal,not specified
130,Morphine Sulfate Zomorph 10mg x 60 tab Pharma Sustained Release,bluemagic,Others,United Kingdom,50,18313,42,100,Others,illegal,not specified
131,#5X #SALE || XTC BLUE POOPIE 200MG || AUS USA EU WW,WeAreAMSTERDAM,Ecstasy,Netherlands,15,28944,209,99,Drug,illegal,hard drug
132,10x 220ug LSD tabs 2 LSD Types  | US 2 US,MyINI,LSD,United States,60,22809,96,100,Drug,illegal,hard drug
133,1g CRYSTAL PURE Indian S-Ketamine,Spasskasse,Ketamine,Germany,34,427,0,100,Drug,illegal,hard drug
134,2.5 Gram Amnesia HAze.,JimmJoness,Weed,Netherlands,27,1849,55,97,Drug,illegal,in small amounts it's legal to carry but selling it is illegal
135,Pure Polline Higt Quality 1g 12$ Higt Sold,Directkoke,Hash,France,12,405,5,99,Drug,illegal,not specified
136,"→ 0,5 Gr High Bolivian Quality Crack Cocaine [90%]",Lidl,Cocaine,Netherlands,33,6510,51,99,Drug,illegal,hard drug
137,10 GR METH CRYSTAL METH 97.99%+++,theolddoctor,Meth,Germany,210,1362,15,99,Drug,illegal,hard drug
138,88% MDMA Champagne Rocks - Pure and Clean from UK 10g,bluemagic,MDMA,United Kingdom,65,18313,42,100,Drug,illegal,hard drug
139,NETFLIX 4K UHD ACCOUNT [LIFETIME]★Auto Delivery★,prohack,Accounts,Not Specified,10,1058,0,100,Accounts,illegal,not specified
140,250X S903 Xanax 3MG HQ,MyINI,Xanax,United States,350,22809,96,100,Drug,illegal,hard drug
141,2.5Gr Top Quality Crystal-Meth,Flako,Meth,Germany,80,7070,61,99,Drug,illegal,hard drug
142,⌐|1G|¬ ► Turkish Heroin [PURE & UNCUT] | Free WW-Shipping,TweeTy,Heroin,Netherlands,30,419,5,99,Drug,illegal,hard drug
143,⌐|3G|¬ ► Pure Colombian Cocaine [UNCUT] | Free WW-Shipping,RS7,Cocaine,Netherlands,190,630,0,100,Drug,illegal,hard drug
144,⌐|3G|¬ ► Turkish Heroin [PURE & UNCUT] | Free WW-Shipping,TweeTy,Heroin,Netherlands,90,419,5,99,Drug,illegal,hard drug
145,Mc´COCAINE - 1G - Highest Colombian Purity - 94% FLAKES only,McDrugZ,Cocaine,Germany,65,625,10,98,Drug,illegal,hard drug
146,Stoney Patch Jelly Gumyes,friends,Edibles,United Kingdom,16,1008,0,100,Edibles,illegal,not specified
147,PACK OF 1 CVV CARDS DETAILS OF U.S WITH GOOD VALIDITY,dumbakarahi1,CC/CVV,United States,15,1717,10,99,CC/CVV,illegal,not specified
148,"FRESH SNIFFED HQ USA CC 100% LIVE! known balance 2.000$ - 13,000$",Loyal4royal,CC/CVV,United States,20,1115,16,99,CC/CVV,illegal,not specified
149,25x - Adderall 30mg US only,vintage,Others,United States,250,620,20,97,Others,illegal,adderall is legal on prescription but not for selling it like drugs
150,ALPRAZOLAM 0.5 MG X 45 PILLS,jaribootiwalla,Xanax,Not Specified,35,283,5,98,Drug,illegal,hard drug
